YEAR,ZIPCODE,STATE,REGION,Nearest_UrgentCare,Nearest_emDepart,Nearest_medICU,Nearest_traumaCenter,Nearest_pedICU,Nearest_healthClinic,percent_uninsured,Median_household_income,STATE_ABBR
2020,00601,Puerto Rico,,6.92,8.06,11.3,34.62,11.83,6.92,6.56,14398.0,PR
2020,00602,Puerto Rico,,5.9,4.69,4.69,5.9,45.09,12.64,5.65,16771.0,PR
2020,00605,Puerto Rico,,0.82,0.82,0.82,0.82,45.37,8.22,5.36,15786.0,PR
2020,00603,Puerto Rico,,0.94,0.94,0.94,0.94,45.99,8.58,5.36,15786.0,PR
2020,00604,Puerto Rico,,2.94,2.94,2.94,2.94,48.21,8.57,5.36,15786.0,PR
2020,00606,Puerto Rico,,16.76,7.19,7.19,21.33,26.19,7.86,3.1,14980.0,PR
2020,00610,Puerto Rico,,11.77,4.97,4.97,11.77,39.21,5.74,4.55,20167.0,PR
2020,00612,Puerto Rico,,15.58,0.45,0.45,27.04,32.51,7.19,5.35,19402.0,PR
2020,00613,Puerto Rico,,15.83,0.31,0.31,26.85,32.88,6.92,5.35,19402.0,PR
2020,00614,Puerto Rico,,16.77,0.16,0.16,25.84,32.73,6.04,5.35,19402.0,PR
2020,00616,Puerto Rico,,8.92,6.68,6.68,33.62,30.8,4.22,8.08,18903.0,PR
2020,00617,Puerto Rico,,4.19,4.19,4.19,31.17,30.9,0.53,5.96,17702.0,PR
2020,00622,Puerto Rico,,22.18,2.66,6.75,29.09,32.85,5.25,6.05,15640.0,PR
2020,00623,Puerto Rico,,24.31,3.56,7.66,26.13,35.0,7.79,4.81,17699.0,PR
2020,00624,Puerto Rico,,0.26,7.11,7.59,38.71,7.11,0.26,3.8,17161.0,PR
2020,00627,Puerto Rico,,19.01,6.99,6.99,19.01,35.71,1.43,5.38,18571.0,PR
2020,00631,Puerto Rico,,13.85,0.39,11.06,24.8,20.75,0.39,5.2,11476.0,PR
2020,00637,Puerto Rico,,11.19,5.79,5.8,28.99,21.76,6.98,6.16,18430.0,PR
2020,00638,Puerto Rico,,7.56,7.56,7.56,26.42,24.66,3.53,3.83,17634.0,PR
2020,00641,Puerto Rico,,14.1,1.16,14.33,31.6,18.25,11.29,7.37,15402.0,PR
2020,00611,Puerto Rico,,16.58,5.68,13.62,24.23,22.62,4.7,7.37,15402.0,PR
2020,00646,Puerto Rico,,12.92,7.92,7.92,13.92,13.44,4.64,5.82,29757.0,PR
2020,00647,Puerto Rico,,10.72,8.09,8.09,36.17,20.79,0.62,4.27,13996.0,PR
2020,00688,Puerto Rico,,10.4,8.32,9.85,34.02,24.78,3.68,4.38,19368.0,PR
2020,00650,Puerto Rico,,7.18,7.18,7.18,32.92,26.04,0.73,4.38,19368.0,PR
2020,00652,Puerto Rico,,9.01,6.72,6.72,33.86,32.42,4.44,4.22,22771.0,PR
2020,00653,Puerto Rico,,8.15,5.99,5.99,36.37,18.27,2.0,4.11,10977.0,PR
